question,intent,original_faq_id
คุณสมบัติผู้สมัครหลักสูตร อส.บ. วิศวกรรมเทคโนโลยีนวัตกรรมเพื่อความยั่งยืน,admission,2
สมัครได้ไหม,admission,2
ใครเรียนได้บ้าง,admission,2
เงื่อนไขการสมัคร,admission,2
คุณสมบัติผู้สมัคร,admission,2
จบ ปวส. สามารถเรียนต่อ อส.บ. ยั่งยืน ได้ไหม,admission,7
จบ ปวส เรียนได้ไหม,admission,7
ปวส เรียนต่อได้ไหม,admission,7
จบ ปวส สมัครได้ไหม,admission,7
SIME เหมาะกับคนที่มีพื้นฐานอะไร,admission,31
จบ อส.บ. วิศวกรรมเทคโนโลยีนวัตกรรมเพื่อความยั่งยืน ทำงานอะไรได้บ้าง,career,10
จบแล้วทำงานอะไร,career,10
ทำงานอะไรได้บ้าง,career,10
อาชีพหลังจบ,career,10
ทำงานด้านไหน,career,10
จบ SIME แล้วทำงานอะไรได้บ้าง,career,29
จบแล้วทำงานอะไร,career,29
ทำงานอะไรได้บ้าง,career,29
อาชีพหลังจบ,career,29
ทำงานด้านไหน,career,29
ติดต่อสาขา SIME ได้ที่ไหน,contact,16
เบอร์โทรศัพท์สาขา SIME คืออะไร,contact,17
อีเมลสาขา SIME คืออะไร,contact,18
ติดต่อคณะวิศวกรรมศาสตร์ มทร.พระนคร ได้ที่ไหน,contact,22
สอบถามข้อมูลการเรียนสาขา SIME ได้ที่ไหน,contact,23
รายละเอียดหลักสูตรฉบับเต็ม อส.บ. ยั่งยืน หาได้ที่ไหน,information,8
ข้อมูลเพิ่มเติม,information,8
รายละเอียดเพิ่มเติม,information,8
หาข้อมูลได้ที่ไหน,information,8
ดูเพิ่มเติมที่ไหน,information,8
สาขา SIME ก่อตั้งเมื่อไหร่,information,11
ข้อมูลเพิ่มเติม,information,11
รายละเอียดเพิ่มเติม,information,11
หาข้อมูลได้ที่ไหน,information,11
ดูเพิ่มเติมที่ไหน,information,11
ทำไมต้องมีหลักสูตร SIME วิศวกรรมความยั่งยืน,information,12
ข้อมูลเพิ่มเติม,information,12
รายละเอียดเพิ่มเติม,information,12
หาข้อมูลได้ที่ไหน,information,12
ดูเพิ่มเติมที่ไหน,information,12
วิศวกรรมการจัดการอุตสาหกรรมเพื่อความยั่งยืน ตั้งอยู่ที่ไหน,information,15
ข้อมูลเพิ่มเติม,information,15
รายละเอียดเพิ่มเติม,information,15
หาข้อมูลได้ที่ไหน,information,15
ดูเพิ่มเติมที่ไหน,information,15
เว็บไซต์สาขา SIME คืออะไร,information,20
ข้อมูลเพิ่มเติม,information,20
รายละเอียดเพิ่มเติม,information,20
หาข้อมูลได้ที่ไหน,information,20
ดูเพิ่มเติมที่ไหน,information,20
สาขา SIME อยู่ที่ไหน,location,19
ไปสาขา SIME ยังไง,location,21
หลักสูตร อส.บ. วิศวกรรมเทคโนโลยีนวัตกรรมเพื่อความยั่งยืน เป็นหลักสูตรแบบไหน,program,1
หลักสูตรนี้เป็นยังไง,program,1
