question,intent,original_faq_id,original_category
สาขาวิศวกรรมเครื่องกล มทร.พระนคร มีประวัติความเป็นมายังไง,general,471,about
มทร.พระนคร เดิมชื่ออะไร ตั้งแต่เมื่อไหร่,general,472,about
ตราสัญลักษณ์สาขาวิศวกรรมเครื่องกล มีความหมายอย่างไร,general,473,about
อาจารย์ใหญ่คนแรกของโรงเรียนช่างกลพระนครเหนือคือใคร,general,474,about
โรงเรียนช่างกลพระนครเหนือตั้งอยู่ที่ไหน,general,475,about
โรงเรียนช่างกลพระนครเหนือเริ่มเปิดสอนเมื่อไหร่ มีนักเรียนกี่คน,general,476,about
ปี พ.ศ. 2520 โรงเรียนช่างกลพระนครเหนือเปลี่ยนชื่อเป็นอะไร,general,477,about
พระบาทสมเด็จพระเจ้าอยู่หัว ทรงพระราชทานนาม มทร.พระนคร เมื่อไหร่,general,478,about
สาขาวิศวกรรมเครื่องกล มีการพัฒนาในช่วง 40 ปีที่ผ่านมาอย่างไร,general,481,about
มาตรฐานผลการเรียนรู้ที่คาดหวัง 5 ด้าน มีอะไรบ้าง?,general,515,about
ปรัชญาของสาขาวิชาวิศวกรรมโยธา มทร.พระนคร คืออะไร?,general,548,about
ความสำคัญของสาขาวิศวกรรมโยธาคืออะไร?,general,549,about
วัตถุประสงค์ของหลักสูตรวิศวกรรมโยธามีอะไรบ้าง?,general,550,about
บัณฑิตวิศวกรรมโยธา มทร.พระนคร ต้องมีคุณธรรมจริยธรรมอย่างไร?,general,551,about
วิศวกรโยธาจากมทร.พระนครต้องมีทักษะด้านไหนบ้าง?,general,552,about
สาขาวิศวกรรมโยธา มทร.พระนคร มุ่งผลิตบัณฑิตแบบไหน?,general,553,about
ทำไมต้องเรียนวิศวกรรมโยธา?,general,554,about
วิศวกรโยธาต้องมีความสามารถด้านเทคโนโลยีไหม?,general,555,about
ทำไมวิศวกรโยธาต้องเรียน Microsoft Excel?,general,577,about
Microsoft Excel สำคัญกับงานวิศวกรรมโยธาอย่างไร?,general,579,about
นักศึกษาวิศวกรรมโยธาควรมีทักษะด้าน IT อะไรบ้าง?,general,580,about
สาขาวิศวกรรมเครื่องมือและแม่พิมพ์ มทร.พระนคร มีประวัติความเป็นมาอย่างไร,general,589,about
สาขาวิศวกรรมเครื่องมือและแม่พิมพ์ เปิดสอนเมื่อไหร่,general,591,about
ปี 2542 สาขาวิศวกรรมเครื่องมือและแม่พิมพ์มีการพัฒนาอย่างไร,general,592,about
ชื่อเดิมของสาขาวิศวกรรมเครื่องมือและแม่พิมพ์คืออะไร,general,595,about
สาขาวิศวกรรมเครื่องมือและแม่พิมพ์ มีความร่วมมือกับต่างประเทศไหม,general,596,about
สาขาวิศวกรรมเครื่องมือและแม่พิมพ์ เป็นสาขาแรกของมหาวิทยาลัยหรือไม่,general,598,about
สาขาวิศวกรรมเครื่องมือและแม่พิมพ์ มีการพัฒนาด้านอะไรบ้าง,general,599,about
