question,intent
ค่าเทอมเท่าไหร่,ask_tuition
ค่าเรียนต่อเทอม,ask_tuition
ค่าใช้จ่ายในการเรียน,ask_tuition
เทอมละเท่าไหร่,ask_tuition
ค่าธรรมเนียมการศึกษา,ask_tuition
ค่าเล่าเรียนเท่าไร,ask_tuition
เทอมหนึ่งเสียเงินเท่าไหร่,ask_tuition
ค่าเรียนราคาเท่าไร,ask_tuition
ใช้จ่ายต่อเทอม,ask_tuition
ค่าเทอมปีหนึ่ง,ask_tuition
พ่อต้องจ่ายเงินเท่าไหร่,ask_tuition
แม่ต้องเตรียมเงินเท่าไร,ask_tuition
เสียเงินค่าเรียนไหม,ask_tuition
ต้องจ่ายกี่บาท,ask_tuition
ค่าเทอมราคาเท่าไร,ask_tuition
เทอมนึงกี่บาท,ask_tuition
ค่าเรียนแพงไหม,ask_tuition
เทอมละกี่บาท,ask_tuition
ปีหนึ่งใช้เงินเท่าไร,ask_tuition
ค่าใช้จ่ายทั้งหมด,ask_tuition
อาจารย์สาขาคอมมีใครบ้าง,ask_staff
อาจารย์ประจำสาขาคอมพิวเตอร์,ask_staff
ขอข้อมูลอาจารย์,ask_staff
อาจารย์ที่สอนเรื่อง AI,ask_staff
ติดต่ออาจารย์สาขาไฟฟ้า,ask_staff
รายชื่ออาจารย์,ask_staff
มีอาจารย์กี่คน,ask_staff
ผู้สอนสาขาเครื่องกล,ask_staff
อาจารย์ผู้เชี่ยวชาญ,ask_staff
ครูประจำสาขา,ask_staff
ผู้สอนวิชาคอม,ask_staff
อาจารย์ที่ดูแลนักศึกษา,ask_staff
ติดต่ออาจารย์ที่ไหน,ask_staff
เบอร์อาจารย์,ask_staff
อีเมลอาจารย์,ask_staff
สมัครเรียนยังไง,ask_admission
วิธีสมัคร TCAS,ask_admission
รับสมัครเมื่อไหร่,ask_admission
เปิดรับสมัครไหม,ask_admission
สมัครเข้าศึกษา,ask_admission
ขั้นตอนการสมัคร,ask_admission
สมัครผ่าน TCAS,ask_admission
รอบรับสมัคร,ask_admission
คุณสมบัติการสมัคร,ask_admission
เอกสารการสมัคร,ask_admission
สมัครออนไลน์ได้ไหม,ask_admission
รับสมัครตอนไหน,ask_admission
ปิดรับสมัครเมื่อไหร่,ask_admission
วันสุดท้ายของการสมัคร,ask_admission
อยากเรียนที่นี่,ask_admission
กยศ คืออะไร,ask_loan
กู้เงินยังไง,ask_loan
ขอทุนการศึกษา,ask_loan
มีทุนให้ไหม,ask_loan
กรอ,ask_loan
กู้เงิน กยศ,ask_loan
วิธีกู้ยืมเงิน,ask_loan
ทุนการศึกษามีไหม,ask_loan
สมัครกยศ,ask_loan
กู้เงินกรอ,ask_loan
ยืมเงินจากมหาลัยได้ไหม,ask_loan
ขอกู้เงินค่าเทอม,ask_loan
กยศ สมัครยังไง,ask_loan
เงินกู้นักศึกษา,ask_loan
ทุนการศึกษาสำหรับคนจน,ask_loan
ขอทุนยากจนได้ไหม,ask_loan
เรียนฟรีได้ไหม,ask_loan
ทุนเรียนฟรีมีไหม,ask_loan
ครอบครัวยากจน,ask_loan
มีสาขาอะไรบ้าง,ask_department
สาขาวิศวกรรมคอมพิวเตอร์เรียนอะไร,ask_department
หลักสูตรสาขาไฟฟ้า,ask_department
แต่ละสาขาเรียนเกี่ยวกับอะไร,ask_department
มีกี่สาขา,ask_department
สาขาวิชา,ask_department
หลักสูตรการเรียน,ask_department
เรียนเกี่ยวกับอะไร,ask_department
วิชาที่เรียน,ask_department
สาขาในคณะ,ask_department
เลือกสาขาอะไรดี,ask_department
แนะนำสาขา,ask_department
สาขาที่มีคนเรียนเยอะ,ask_department
สาขาไหนได้เงินเยอะ,ask_department
เรียนจบทำงานอะไร,ask_department
มีห้องแล็บไหม,ask_facility
ห้องปฏิบัติการคอมพิวเตอร์,ask_facility
มีอุปกรณ์อะไรบ้าง,ask_facility
สิ่งอำนวยความสะดวก,ask_facility
ห้องสมุด,ask_facility
lab คอมพิวเตอร์,ask_facility
อุปกรณ์การเรียน,ask_facility
