text,intent
สาขาวิศวกรรมเครื่องกล มทร.พระนคร มีประวัติความเป็นมายังไง,general
มทร.พระนคร เดิมชื่ออะไร ตั้งแต่เมื่อไหร่,general
ตราสัญลักษณ์สาขาวิศวกรรมเครื่องกล มีความหมายอย่างไร,general
อาจารย์ใหญ่คนแรกของโรงเรียนช่างกลพระนครเหนือคือใคร,general
อาจารย์ประจำสาขา,general
คณาจารย์,general
อาจารย์ผู้สอน,general
โรงเรียนช่างกลพระนครเหนือตั้งอยู่ที่ไหน,general
โรงเรียนช่างกลพระนครเหนือเริ่มเปิดสอนเมื่อไหร่ มีนักเรียนกี่คน,general
ปี พ.ศ. 2520 โรงเรียนช่างกลพระนครเหนือเปลี่ยนชื่อเป็นอะไร,general
พระบาทสมเด็จพระเจ้าอยู่หัว ทรงพระราชทานนาม มทร.พระนคร เมื่อไหร่,general
สาขาวิศวกรรมเครื่องกล มีการพัฒนาในช่วง 40 ปีที่ผ่านมาอย่างไร,general
มาตรฐานผลการเรียนรู้ที่คาดหวัง 5 ด้าน มีอะไรบ้าง?,general
ปรัชญาของสาขาวิชาวิศวกรรมโยธา มทร.พระนคร คืออะไร?,general
ความสำคัญของสาขาวิศวกรรมโยธาคืออะไร?,general
วัตถุประสงค์ของหลักสูตรวิศวกรรมโยธามีอะไรบ้าง?,general
บัณฑิตวิศวกรรมโยธา มทร.พระนคร ต้องมีคุณธรรมจริยธรรมอย่างไร?,general
วิศวกรโยธาจากมทร.พระนครต้องมีทักษะด้านไหนบ้าง?,general
สาขาวิศวกรรมโยธา มทร.พระนคร มุ่งผลิตบัณฑิตแบบไหน?,general
ทำไมต้องเรียนวิศวกรรมโยธา?,general
วิศวกรโยธาต้องมีความสามารถด้านเทคโนโลยีไหม?,general
ทำไมวิศวกรโยธาต้องเรียน Microsoft Excel?,general
Microsoft Excel สำคัญกับงานวิศวกรรมโยธาอย่างไร?,general
นักศึกษาวิศวกรรมโยธาควรมีทักษะด้าน IT อะไรบ้าง?,general
สาขาวิศวกรรมเครื่องมือและแม่พิมพ์ มทร.พระนคร มีประวัติความเป็นมาอย่างไร,general
สาขาวิศวกรรมเครื่องมือและแม่พิมพ์ เปิดสอนเมื่อไหร่,general
ปี 2542 สาขาวิศวกรรมเครื่องมือและแม่พิมพ์มีการพัฒนาอย่างไร,general
ชื่อเดิมของสาขาวิศวกรรมเครื่องมือและแม่พิมพ์คืออะไร,general
สาขาวิศวกรรมเครื่องมือและแม่พิมพ์ มีความร่วมมือกับต่างประเทศไหม,general
สาขาวิศวกรรมเครื่องมือและแม่พิมพ์ เป็นสาขาแรกของมหาวิทยาลัยหรือไม่,general
สาขาวิศวกรรมเครื่องมือและแม่พิมพ์ มีการพัฒนาด้านอะไรบ้าง,general
หลักสูตรนี้ได้รับการรับรองจากสภาวิศวกรหรือไม่ (ขอใบ กว. ได้ไหม)?,general
วิศวกรรมคอมพิวเตอร์ มีกิจกรรมและการแข่งขัน,activities
หลักสูตรนี้มีกิจกรรมเสริมหลักสูตรไหม,activities
วิศวกรรมอุตสาหการ มีสหกิจศึกษาไหม,activities
วิศวกรรมการผลิตเครื่องประดับ มีการอบรมอะไรบ้าง,activities
