question,intent,original_faq_id
คุณสมบัติผู้สมัครหลักสูตร อส.บ. วิศวกรรมเทคโนโลยีนวัตกรรมเพื่อความยั่งยืน,admission,2
สมัครได้ไหม,admission,2
ใครเรียนได้บ้าง,admission,2
เงื่อนไขการสมัคร,admission,2
คุณสมบัติผู้สมัคร,admission,2
จบ ปวส. สามารถเรียนต่อ อส.บ. ยั่งยืน ได้ไหม,admission,7
จบ ปวส เรียนได้ไหม,admission,7
ปวส เรียนต่อได้ไหม,admission,7
จบ ปวส สมัครได้ไหม,admission,7
จบ อส.บ. วิศวกรรมเทคโนโลยีนวัตกรรมเพื่อความยั่งยืน ทำงานอะไรได้บ้าง,career,10
จบแล้วทำงานอะไร,career,10
ทำงานอะไรได้บ้าง,career,10
อาชีพหลังจบ,career,10
ทำงานด้านไหน,career,10
รายละเอียดหลักสูตรฉบับเต็ม อส.บ. ยั่งยืน หาได้ที่ไหน,information,8
ข้อมูลเพิ่มเติม,information,8
รายละเอียดเพิ่มเติม,information,8
หาข้อมูลได้ที่ไหน,information,8
ดูเพิ่มเติมที่ไหน,information,8
หลักสูตร อส.บ. วิศวกรรมเทคโนโลยีนวัตกรรมเพื่อความยั่งยืน เป็นหลักสูตรแบบไหน,program,1
หลักสูตรนี้เป็นยังไง,program,1
เรียนหลักสูตรนี้,program,1
หลักสูตร อส.บ. ยั่งยืน,program,1
บอกเกี่ยวกับหลักสูตร,program,1
หลักสูตร อส.บ. วิศวกรรมเทคโนโลยีนวัตกรรมเพื่อความยั่งยืน เรียนกี่ปี,program,4
หลักสูตรนี้เป็นยังไง,program,4
เรียนหลักสูตรนี้,program,4
หลักสูตร อส.บ. ยั่งยืน,program,4
บอกเกี่ยวกับหลักสูตร,program,4
เรียนนานแค่ไหน,program,4
ใช้เวลากี่ปี,program,4
เรียนกี่ปีจบ,program,4
ระยะเวลาเรียน,program,4
หลักสูตร อส.บ. วิศวกรรมเทคโนโลยีนวัตกรรมเพื่อความยั่งยืน เรียนเกี่ยวกับอะไร,program,5
หลักสูตรนี้เป็นยังไง,program,5
เรียนหลักสูตรนี้,program,5
หลักสูตร อส.บ. ยั่งยืน,program,5
บอกเกี่ยวกับหลักสูตร,program,5
เรียนอะไร,program,5
เรียนวิชาอะไรบ้าง,program,5
มีวิชาอะไร,program,5
เนื้อหาการเรียน,program,5
อส.บ. ต่างจาก วศ.บ. (วิศวกรรมศาสตรบัณฑิต) อย่างไร,program,6
หลักสูตรนี้เป็นยังไง,program,6
เรียนหลักสูตรนี้,program,6
หลักสูตร อส.บ. ยั่งยืน,program,6
บอกเกี่ยวกับหลักสูตร,program,6
หลักสูตร อส.บ. ยั่งยืน มีภาคสมทบไหม,program,9
หลักสูตรนี้เป็นยังไง,program,9
เรียนหลักสูตรนี้,program,9
หลักสูตร อส.บ. ยั่งยืน,program,9
บอกเกี่ยวกับหลักสูตร,program,9
มีเรียนภาคสมทบไหม,program,9
เรียนภาคสมทบได้ไหม,program,9
ภาคสมทบ,program,9
ค่าเทอม อส.บ. วิศวกรรมเทคโนโลยีนวัตกรรมเพื่อความยั่งยืน เท่าไหร่,tuition,3
ค่าเทอม,tuition,3
ค่าเทอมเท่าไหร่,tuition,3
ค่าใช้จ่าย,tuition,3
เสียเงินเท่าไหร่,tuition,3
เทอมละเท่าไหร่,tuition,3
